EmployeeID,Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,Region,EducationLevel,EducationField,MonthlyIncome,PercentSalaryHike,StockOptionLevel,YearsAtCompany,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,BusinessTravel,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,StandardHours,EmployeeCount,Over18,Attrition
EMP1001,53,46+,Female,Single,Research & Development,Healthcare Representative,North,5,Life Sciences,11027,18,1,5,0,3,2,Travel_Rarely,11,No,2,4,4,4,3,3,80,1,Y,No
EMP1002,39,31-45,Female,Married,Human Resources,Manager,South,2,Medical,5400,13,2,11,3,0,2,Travel_Rarely,7,Yes,3,3,4,2,3,3,80,1,Y,No
EMP1003,34,31-45,Male,Married,Research & Development,Healthcare Representative,South,3,Life Sciences,6825,21,1,2,1,3,2,Non-Travel,14,No,4,3,4,3,3,4,80,1,Y,No
EMP1004,46,46+,Male,Divorced,Research & Development,Manufacturing Director,North,4,Life Sciences,9758,13,1,6,3,4,2,Travel_Rarely,8,No,3,2,3,1,2,3,80,1,Y,No
EMP1005,44,31-45,Male,Married,Sales,Sales Representative,South,3,Medical,8039,18,0,12,4,1,2,Travel_Frequently,13,No,3,2,4,4,3,4,80,1,Y,No
EMP1006,22,18-30,Male,Single,Sales,Sales Executive,South,4,Medical,6823,13,1,8,9,4,2,Travel_Rarely,10,No,3,3,2,2,4,3,80,1,Y,No
EMP1007,39,31-45,Male,Divorced,Sales,Sales Representative,East,5,Medical,7989,22,0,4,2,2,3,Travel_Rarely,1,No,1,3,3,4,4,4,80,1,Y,No
EMP1008,44,31-45,Male,Single,Research & Development,Research Scientist,East,3,Life Sciences,9066,12,0,6,3,6,5,Travel_Rarely,1,Yes,1,3,4,4,3,3,80,1,Y,No
EMP1009,34,31-45,Male,Married,Research & Development,Research Scientist,East,4,Life Sciences,7917,23,0,31,1,3,3,Travel_Frequently,21,No,4,2,2,4,3,3,80,1,Y,Yes
EMP1010,50,46+,Female,Single,Research & Development,Healthcare Representative,North,4,Life Sciences,10076,21,0,6,1,2,2,Travel_Rarely,26,Yes,4,1,4,3,4,3,80,1,Y,Yes
EMP1011,32,31-45,Female,Single,Sales,Manager,North,3,Human Resources,7787,23,0,10,0,2,4,Travel_Rarely,11,No,4,3,3,4,4,3,80,1,Y,No
EMP1012,36,31-45,Female,Divorced,Human Resources,Human Resources,East,2,Medical,8408,23,0,9,1,7,3,Travel_Rarely,11,No,4,2,3,1,3,3,80,1,Y,No
EMP1013,35,31-45,Female,Married,Research & Development,Manufacturing Director,South,1,Life Sciences,6382,15,0,8,0,2,1,Travel_Rarely,2,No,2,3,2,2,2,3,80,1,Y,No
EMP1014,34,31-45,Male,Married,Sales,Sales Representative,North,3,Life Sciences,7006,21,0,8,13,2,2,Non-Travel,7,No,2,3,3,1,4,3,80,1,Y,No
EMP1015,24,18-30,Female,Married,Sales,Manager,West,3,Other,4757,13,1,4,3,0,3,Travel_Frequently,29,No,2,1,1,3,4,3,80,1,Y,No
EMP1016,21,18-30,Male,Married,Sales,Sales Executive,West,1,Life Sciences,7371,16,1,4,0,2,3,Travel_Rarely,17,No,1,2,1,4,2,4,80,1,Y,No
EMP1017,52,46+,Male,Single,Research & Development,Manufacturing Director,East,1,Technical Degree,5989,21,2,4,0,6,6,Travel_Rarely,3,No,4,1,4,4,4,4,80,1,Y,No
EMP1018,28,18-30,Female,Married,Research & Development,Healthcare Representative,North,2,Life Sciences,8859,17,0,0,1,5,3,Travel_Rarely,3,No,4,4,4,3,3,3,80,1,Y,No
EMP1019,27,18-30,Female,Married,Research & Development,Manufacturing Director,West,3,Human Resources,7272,13,0,1,1,1,4,Travel_Frequently,5,No,4,3,1,4,4,3,80,1,Y,No
EMP1020,18,18-30,Female,Divorced,Sales,Sales Representative,East,5,Technical Degree,7042,19,2,1,1,2,0,Travel_Rarely,4,No,3,3,3,4,3,3,80,1,Y,No
EMP1021,30,18-30,Male,Married,Research & Development,Laboratory Technician,West,5,Medical,8001,20,0,15,2,1,2,Non-Travel,4,No,2,2,3,4,3,3,80,1,Y,Yes
EMP1022,22,18-30,Female,Married,Sales,Sales Executive,East,3,Life Sciences,6097,11,1,2,9,8,4,Travel_Rarely,8,No,1,3,3,3,3,3,80,1,Y,No
EMP1023,48,46+,Female,Married,Sales,Sales Representative,West,4,Life Sciences,9245,24,1,1,3,3,2,Travel_Frequently,1,No,2,2,3,1,4,4,80,1,Y,No
EMP1024,47,46+,Male,Single,Research & Development,Manufacturing Director,South,4,Life Sciences,7196,17,1,0,2,5,1,Travel_Rarely,12,Yes,3,3,3,3,3,3,80,1,Y,No
EMP1025,30,18-30,Male,Married,Research & Development,Healthcare Representative,North,3,Medical,6617,14,0,8,6,4,2,Non-Travel,12,No,3,3,3,3,3,4,80,1,Y,No
EMP1026,59,46+,Male,Divorced,Research & Development,Laboratory Technician,East,3,Life Sciences,8705,17,2,0,0,6,3,Travel_Rarely,15,No,4,3,4,3,2,3,80,1,Y,No
EMP1027,42,31-45,Female,Single,Sales,Sales Executive,East,2,Life Sciences,7796,19,0,4,0,8,1,Travel_Rarely,16,No,4,3,3,4,3,3,80,1,Y,No
